row,col,x,y,land surface temperature
624,1060,622905.0,3361965.0,325.028
541,1765,644055.0,3364455.0,320.06848
1304,1639,640275.0,3341565.0,325.49973
1189,107,594315.0,3345015.0,314.79788
396,177,596415.0,3368805.0,319.9762
199,714,612525.0,3374715.0,323.54803
498,1171,626235.0,3365745.0,323.73944
1441,560,607905.0,3337455.0,318.18173
14,1689,641775.0,3380265.0,321.23062
883,679,611475.0,3354195.0,314.2134
1532,843,616395.0,3334725.0,321.4938
900,1176,626385.0,3353685.0,323.14813
831,770,614205.0,3355755.0,318.39706
821,1652,640665.0,3356055.0,315.8199
1405,1537,637215.0,3338535.0,321.8356
1490,743,613395.0,3335985.0,318.73203
1170,1054,622725.0,3345585.0,325.48264
1184,660,610905.0,3345165.0,320.89905
1105,1334,631125.0,3347535.0,308.71722
1120,475,605355.0,3347085.0,321.79117
519,274,599325.0,3365115.0,320.57776
1426,1032,622065.0,3337905.0,323.1208
778,385,602655.0,3357345.0,316.00787
910,1176,626385.0,3353385.0,322.902
804,912,618465.0,3356565.0,316.82477
478,36,592185.0,3366345.0,321.82535
1107,1712,642465.0,3347475.0,314.9312
1240,58,592845.0,3343485.0,317.68613
374,1525,636855.0,3369465.0,324.31024
766,736,613185.0,3357705.0,314.52786
83,951,619635.0,3378195.0,319.39856
968,1306,630285.0,3351645.0,326.0295
158,938,619245.0,3375945.0,315.84723
306,1205,627255.0,3371505.0,323.11395
1544,60,592905.0,3334365.0,322.5568
1134,523,606795.0,3346665.0,321.06656
1340,1444,634425.0,3340485.0,325.44162
1650,468,605145.0,3331185.0,325.15793
1218,1435,634155.0,3344145.0,316.0489
292,939,619275.0,3371925.0,320.37268
370,106,594285.0,3369585.0,317.61435
27,370,602205.0,3379875.0,317.96982
604,1619,639675.0,3362565.0,322.17398
1295,370,602205.0,3341835.0,319.255
752,1170,626205.0,3358125.0,320.8136
1491,1256,628785.0,3335955.0,321.9484
702,1187,626715.0,3359625.0,322.93277
244,531,607035.0,3373365.0,313.11966
786,1571,638235.0,3357105.0,325.14084
1535,269,599175.0,3334635.0,322.8234
189,768,614145.0,3375015.0,323.72577
1605,1550,637605.0,3332535.0,322.79605
1655,529,606975.0,3331035.0,322.60464
1091,1604,639225.0,3347955.0,326.4636
1281,1107,624315.0,3342255.0,323.11395
725,979,620475.0,3358935.0,322.6559
1580,537,607215.0,3333285.0,322.4816
298,1568,638145.0,3371745.0,323.93427
1036,1388,632745.0,3349605.0,319.7882
649,269,599175.0,3361215.0,316.9581
1479,936,619185.0,3336315.0,321.4528
33,1628,639945.0,3379695.0,319.96594
1023,91,593835.0,3349995.0,317.52206
1455,1751,643635.0,3337035.0,317.24863
1534,1519,636675.0,3334665.0,323.10028
630,1601,639135.0,3361785.0,317.3785
37,351,601635.0,3379575.0,316.59918
1426,108,594345.0,3337905.0,317.8912
156,1463,634995.0,3376005.0,320.6974
238,1234,628125.0,3373545.0,326.49094
939,1541,637335.0,3352515.0,318.7628
1411,1135,625155.0,3338355.0,320.87854
397,323,600795.0,3368775.0,317.775
634,1761,643935.0,3361665.0,319.16956
927,779,614475.0,3352875.0,314.02884
257,996,620985.0,3372975.0,317.61435
163,1750,643605.0,3375795.0,323.50702
20,1322,630765.0,3380085.0,322.5192
446,1374,632325.0,3367305.0,323.7531
675,280,599505.0,3360435.0,313.6768
1332,1132,625065.0,3340725.0,323.07977
1429,673,611295.0,3337815.0,319.63782
878,517,606615.0,3354345.0,316.81793
1457,638,610245.0,3336975.0,320.3761
1176,1105,624255.0,3345405.0,316.04205
1203,539,607275.0,3344595.0,323.99237
950,294,599925.0,3352185.0,316.68805
712,30,592005.0,3359325.0,320.75208
117,457,604815.0,3377175.0,316.6949
592,566,608085.0,3362925.0,317.99716
136,1598,639045.0,3376605.0,326.87375
1393,314,600525.0,3338895.0,318.62265
192,1245,628455.0,3374925.0,322.4611
1316,867,617115.0,3341205.0,322.9738
1516,305,600255.0,3335205.0,319.91467
1140,1741,643335.0,3346485.0,320.65295
215,1314,630525.0,3374235.0,327.17456
1103,77,593415.0,3347595.0,322.0612
448,150,595605.0,3367245.0,320.0138
1000,164,596025.0,3350685.0,320.69055
186,1745,643455.0,3375105.0,322.03043
918,1625,639855.0,3353145.0,315.59772
1516,251,598635.0,3335205.0,322.81656
1062,755,613755.0,3348825.0,320.13684
464,970,620205.0,3366765.0,316.17194
1241,505,606255.0,3343455.0,320.3385
1594,1392,632865.0,3332865.0,321.46646
1084,150,595605.0,3348165.0,321.27164
1268,246,598485.0,3342645.0,320.84778
293,59,592875.0,3371895.0,319.51135
402,858,616845.0,3368625.0,322.04752
