row,col,x,y,lst
387,1328,630945.0,3369075.0,326.02267
349,1309,630375.0,3370215.0,320.04797
406,1355,631755.0,3368505.0,323.9001
393,1379,632475.0,3368895.0,318.40732
388,1362,631965.0,3369045.0,322.23892
383,1347,631515.0,3369195.0,324.6999
417,1421,633735.0,3368175.0,323.2165
392,1364,632025.0,3368925.0,322.1603
378,1409,633375.0,3369345.0,321.83902
346,1354,631725.0,3370305.0,324.12225
43,679,611475.0,3379395.0,320.318
30,597,609015.0,3379785.0,321.0768
22,627,609915.0,3380025.0,321.45963
1479,1273,629295.0,3336315.0,322.25943
1505,1272,629265.0,3335535.0,324.52216
1435,1295,629955.0,3337635.0,323.50702
1469,1299,630075.0,3336615.0,325.04852
1479,1307,630315.0,3336315.0,324.84003
1426,1269,629175.0,3337905.0,322.65933
1437,1269,629175.0,3337575.0,324.46063
1480,1303,630195.0,3336285.0,324.38544
1464,1249,628575.0,3336765.0,321.89713
1232,1353,631695.0,3343725.0,325.96457
1196,1294,629925.0,3344805.0,323.96844
1241,1345,631455.0,3343455.0,325.99875
1208,1395,632955.0,3344445.0,327.38647
1173,1368,632145.0,3345495.0,325.71164
1152,1369,632175.0,3346125.0,325.18527
1143,1414,633525.0,3346395.0,324.6828
1143,1360,631905.0,3346395.0,320.69397
1145,1372,632265.0,3346335.0,322.861
1216,1395,632955.0,3344205.0,327.51978
1162,1355,631755.0,3345825.0,325.74924
1143,1377,632415.0,3346395.0,324.10516
1151,1351,631635.0,3346155.0,319.83606
1233,1364,632025.0,3343695.0,323.5036
1165,1343,631395.0,3345735.0,318.90292
1219,1309,630375.0,3344115.0,324.56317
1176,1327,630915.0,3345405.0,321.66812
1505,1685,641655.0,3335535.0,322.85757
1473,1650,640605.0,3336495.0,318.70126
1505,1697,642015.0,3335535.0,327.91968
1509,1706,642285.0,3335415.0,327.9231
1454,1727,642915.0,3337065.0,320.03772
1518,1715,642555.0,3335145.0,324.55975
1485,1703,642195.0,3336135.0,317.4161
1479,1751,643635.0,3336315.0,315.01324
1459,1726,642885.0,3336915.0,317.55966
1436,1723,642795.0,3337605.0,327.38647
1469,1759,643875.0,3336615.0,314.66116
1456,1720,642705.0,3337005.0,328.0017
1427,1732,643065.0,3337875.0,321.31607
1412,1755,643755.0,3338325.0,316.9786
1459,1719,642675.0,3336915.0,320.9982
1485,1735,643155.0,3336135.0,321.5143
1501,1679,641475.0,3335655.0,320.93323
1460,1678,641445.0,3336885.0,319.7301
1489,1675,641355.0,3336015.0,320.58118
1406,1699,642075.0,3338505.0,316.85895
1424,1722,642765.0,3337965.0,325.2844
1494,1762,643965.0,3335865.0,318.50644
1495,1689,641775.0,3335835.0,324.91522
1450,1770,644205.0,3337185.0,324.799
1453,1718,642645.0,3337095.0,331.2215
1449,1713,642495.0,3337215.0,329.96707
1402,1768,644145.0,3338625.0,317.21786
1455,1727,642915.0,3337035.0,318.99524
1409,1743,643395.0,3338415.0,321.63052
1447,1774,644325.0,3337275.0,324.2248
1431,1685,641655.0,3337755.0,316.58893
1456,1776,644385.0,3337005.0,319.87708
1458,1713,642495.0,3336945.0,320.3214
1445,1692,641865.0,3337335.0,317.00253
1487,1738,643245.0,3336075.0,321.56216
1450,1714,642525.0,3337185.0,330.32596
1406,1677,641415.0,3338505.0,317.40244
1491,1710,642405.0,3335955.0,317.2418
1424,1761,643935.0,3337965.0,318.48935
1522,1737,643215.0,3335025.0,323.81805
1504,1685,641655.0,3335565.0,323.51385
1470,1662,640965.0,3336585.0,319.79846
1421,1777,644415.0,3338055.0,317.40244
1431,1726,642885.0,3337755.0,325.47922
1447,1727,642915.0,3337275.0,321.57584
1501,1715,642555.0,3335655.0,327.37622
1450,1718,642645.0,3337185.0,330.9446
1480,1715,642555.0,3336285.0,317.46738
1437,1737,643215.0,3337575.0,316.11383
1407,1666,641085.0,3338475.0,317.13242
1468,1755,643755.0,3336645.0,314.99615
1504,1727,642915.0,3335565.0,325.07248
1472,1743,643395.0,3336525.0,315.3072
1478,1744,643425.0,3336345.0,315.2696
1489,1727,642915.0,3336015.0,320.0138
1514,1727,642915.0,3335265.0,324.08466
1466,1728,642945.0,3336705.0,316.30524
1479,1688,641745.0,3336315.0,322.89517
1467,1740,643305.0,3336675.0,318.37656
1528,782,614565.0,3334845.0,324.6828
1504,703,612195.0,3335565.0,324.27948
1484,742,613365.0,3336165.0,317.08115
1529,802,615165.0,3334815.0,326.05344
1544,754,613725.0,3334365.0,323.4455
1519,777,614415.0,3335115.0,323.62323
1534,785,614655.0,3334665.0,324.99725
1507,754,613725.0,3335475.0,319.98645
1472,752,613665.0,3336525.0,320.42053
1545,709,612375.0,3334335.0,320.73157
1563,746,613485.0,3333795.0,322.30728
1521,761,613935.0,3335055.0,325.27414
1556,742,613365.0,3334005.0,322.7277
1514,824,615825.0,3335265.0,324.97333
1523,752,613665.0,3334995.0,321.84927
1525,766,614085.0,3334935.0,325.79025
1507,739,613275.0,3335475.0,320.17786
1489,745,613455.0,3336015.0,318.45517
1535,744,613425.0,3334635.0,320.14368
1540,837,616215.0,3334485.0,321.25797
1522,767,614115.0,3335025.0,326.30637
1531,768,614145.0,3334755.0,323.55487
1512,769,614175.0,3335325.0,319.3302
1522,766,614085.0,3335025.0,326.0637
1512,787,614715.0,3335325.0,326.08078
1462,805,615255.0,3336825.0,327.32153
347,1273,629295.0,3370275.0,323.11395
368,1217,627615.0,3369645.0,323.6198
308,1256,628785.0,3371445.0,319.50452
353,1228,627945.0,3370095.0,324.21112
376,1266,629085.0,3369405.0,324.92548
366,1275,629355.0,3369705.0,324.88104
337,1242,628365.0,3370575.0,321.54166
393,1310,630405.0,3368895.0,324.69647
326,1276,629385.0,3370905.0,318.4962
319,1251,628635.0,3371115.0,322.9943
432,1294,629925.0,3367725.0,323.09686
404,1255,628755.0,3368565.0,319.06018
411,1334,631125.0,3368355.0,322.81998
338,1256,628785.0,3370545.0,325.1887
366,1274,629325.0,3369705.0,324.7785
438,1279,629475.0,3367545.0,323.13788
371,1284,629625.0,3369555.0,324.05048
341,1223,627795.0,3370455.0,324.24188
315,1313,630495.0,3371235.0,325.69113
598,1061,622935.0,3362745.0,325.27072
595,1007,621315.0,3362835.0,321.12466
628,1063,622995.0,3361845.0,322.47134
629,1038,622245.0,3361815.0,325.12717
624,1098,624045.0,3361965.0,323.87616
671,1014,621525.0,3360555.0,322.14322
666,1035,622155.0,3360705.0,326.6174
615,1040,622305.0,3362235.0,323.11395
629,1033,622095.0,3361815.0,325.58176
630,1060,622905.0,3361785.0,324.3786
629,1075,623355.0,3361815.0,325.73557
629,1069,623175.0,3361815.0,323.62323
643,1079,623475.0,3361395.0,324.74774
624,1060,622905.0,3361965.0,325.028
639,1132,625065.0,3361515.0,324.6452
627,1060,622905.0,3361875.0,323.96503
595,1031,622035.0,3362835.0,319.9386
659,1018,621645.0,3360915.0,324.8742
613,1087,623715.0,3362295.0,325.52707
651,1033,622095.0,3361155.0,322.81314
1316,1640,640305.0,3341205.0,323.8283
1336,1601,639135.0,3340605.0,322.8268
1304,1649,640575.0,3341565.0,320.8136
1281,1647,640515.0,3342255.0,321.2648
1303,1636,640185.0,3341595.0,323.98212
1304,1638,640245.0,3341565.0,324.98016
1336,1647,640515.0,3340605.0,327.44116
1303,1630,640005.0,3341595.0,318.01083
1318,1583,638595.0,3341145.0,325.37668
1278,1632,640065.0,3342345.0,322.9191
1305,1580,638505.0,3341535.0,316.39752
1314,1639,640275.0,3341265.0,323.237
1292,1703,642195.0,3341925.0,321.88687
1279,1664,641025.0,3342315.0,318.66367
1316,1693,641895.0,3341205.0,321.32632
1234,1657,640815.0,3343665.0,315.74127
1317,1698,642045.0,3341175.0,320.9298
1346,1614,639525.0,3340305.0,325.8381
1293,1654,640725.0,3341895.0,322.57388
1304,1641,640335.0,3341565.0,326.31662
1327,1666,641085.0,3340875.0,325.29465
1236,1626,639885.0,3343605.0,319.76086
1245,1680,641505.0,3343335.0,318.84482
209,686,611685.0,3374415.0,322.9191
172,671,611235.0,3375525.0,317.97324
174,750,613605.0,3375465.0,323.09686
182,739,613275.0,3375225.0,322.256
125,724,612825.0,3376935.0,323.1823
