row,col,x,y,land surface temperature,B2_blue,B3_green,B4_red,B5_NIR,B6_SWIR1,B7_SWIR2,B8_pan,B9_cirrus,NDVI,EVI,NDWI
1441,64,593025.0,3337455.0,316.79742431640625,0.2251135,0.1903076,0.15766613,0.68150926,0.35275453,0.16033751,0.080802284,0.0014004247,0.6242355,1.3944536,-0.563423
1375,101,594135.0,3339435.0,320.4991455078125,0.25143725,0.22142817,0.21376501,0.6342434,0.4051291,0.22955929,0.115523934,0.0013559669,0.49584222,1.0195353,-0.48244593
1462,66,593085.0,3336825.0,323.21307373046875,0.24933136,0.23137268,0.2292668,0.6417896,0.4334808,0.2268684,0.11245634,0.0014004247,0.47358906,0.8988166,-0.4700351
1252,1163,625995.0,3343125.0,321.6065979003906,0.43383178,0.42166436,0.4647768,0.9085957,0.4891702,0.2739782,0.19061337,0.0011114483,0.32315984,0.76864094,-0.3660422
1343,1141,625335.0,3340395.0,318.6670837402344,0.22727789,0.19340797,0.139064,0.7894952,0.3066197,0.11876544,0.0766677,0.00128928,0.7004736,1.7688314,-0.60645574
1263,1167,626115.0,3342795.0,321.7193908691406,0.2892265,0.2699809,0.25757948,0.75363636,0.36800283,0.19847772,0.122259304,0.0012003641,0.49055493,1.097554,-0.4724964
1312,245,598455.0,3341325.0,319.8223876953125,0.21897128,0.17492282,0.12982143,0.6202041,0.20674536,0.08327709,0.0878711,0.0014004247,0.65382135,1.6198187,-0.5600128
1394,290,599805.0,3338865.0,317.6485290527344,0.22370955,0.19024912,0.1519334,0.63734376,0.32697675,0.15086094,0.08133578,0.0011781352,0.6150062,1.3930598,-0.54023504
495,1612,639465.0,3365835.0,315.12261962890625,0.20539992,0.15433179,0.10297118,0.60329837,0.23724191,0.07383953,0.08098012,0.0016004855,0.70840824,1.8377461,-0.5925933
547,1585,638655.0,3364275.0,318.4517517089844,0.24523656,0.25652653,0.16433482,1.0,0.3623871,0.12722805,0.10136408,0.0014226538,0.71771896,1.8218362,-0.59168947
109,675,611355.0,3377415.0,323.94110107421875,0.28349376,0.25816444,0.25442064,0.64319354,0.386332,0.20717432,0.12559365,0.0012225931,0.43311805,0.931403,-0.42716557
107,703,612195.0,3377475.0,319.8052978515625,0.26688054,0.23845086,0.19826323,0.6942032,0.3341524,0.18077254,0.093717314,0.0011781352,0.55569595,1.405441,-0.48866174
45,663,610995.0,3379335.0,322.2936096191406,0.32233596,0.30899858,0.32783473,0.73912907,0.44393232,0.28829056,0.13839753,0.0009558455,0.38548106,0.79793704,-0.41037986
1395,791,614835.0,3338835.0,325.2707214355469,0.28770557,0.25518107,0.24757645,0.5929444,0.30275887,0.17004806,0.14695568,0.0012225931,0.41089752,0.9378768,-0.39824688
